id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5381,restaurant operations,"Restaurant revenue data, menu engineering information, food safety inspection records, and sustainable sourcing practices.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which menu items have the highest food cost for vegan dishes?,"CREATE TABLE menu_items (menu_item_id INT, dish_type VARCHAR(255), food_cost DECIMAL(5,2)); INSERT INTO menu_items (menu_item_id, dish_type, food_cost) VALUES (1, 'Vegan', 3.50), (2, 'Vegetarian', 2.50), (3, 'Vegan', 4.00);","SELECT dish_type, MAX(food_cost) FROM menu_items WHERE dish_type = 'Vegan';",This query identifies which menu items have the highest food cost for vegan dishes by filtering the 'dish_type' column with the value 'Vegan' and finding the maximum 'food_cost'.
5382,museums,"Visitor demographics, exhibition analytics, community engagement metrics, and digital museum trends.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What was the average ticket price for each age group?,"CREATE TABLE tickets (ticket_id INT, age_group VARCHAR(10), price DECIMAL(5,2)); INSERT INTO tickets (ticket_id, age_group, price) VALUES (1, 'Adult', 20.00), (2, 'Child', 15.00), (3, 'Senior', 10.00);","SELECT age_group, AVG(price) as avg_price FROM tickets GROUP BY age_group;",This query groups the tickets table by age_group and calculates the average ticket price for each age group.
5383,construction,"Building permit data, construction labor statistics, project timeline information, and sustainable building practices.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List sustainable building practices with their descriptions,"CREATE TABLE sustainable_practices (id INT, practice VARCHAR(50), description TEXT); INSERT INTO sustainable_practices (id, practice, description) VALUES (1, 'Green Roofs', 'Roofs covered with vegetation'), (2, 'Solar Panels', 'Roofs equipped with solar panels'), (3, 'Rainwater Harvesting', 'Collecting and storing rainwater for later use');","SELECT practice, description FROM sustainable_practices;",The prompt asks for a list of sustainable building practices with their descriptions. We simply select all rows from the sustainable_practices table.
5384,fashion,"Trend forecasting data, garment manufacturing information, retail sales statistics, and sustainability metrics in the industry.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights","Determine the percentage of total revenue for each garment category, for the year 2022.","CREATE TABLE category_revenue (category VARCHAR(255), sale_date DATE, revenue DECIMAL(10,2));","SELECT category, (SUM(revenue) / (SELECT SUM(revenue) FROM category_revenue WHERE sale_date BETWEEN '2022-01-01' AND '2022-12-31')) * 100 FROM category_revenue WHERE sale_date BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY category;","The query determines the percentage of total revenue for each garment category, for the year 2022. It filters the category_revenue table for sales in 2022, groups the data by category, calculates the revenue for each category, and divides the category revenue by the total revenue for the year to find the percentage."
5385,precision agriculture,"Precision farming data, satellite imagery analysis, IoT sensor metrics, and agricultural automation trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all IoT sensors located in India and Germany.,"CREATE TABLE IoT_Sensors (id INT, sensor_type VARCHAR(50), location VARCHAR(50), Farm_id INT); INSERT INTO IoT_Sensors (id, sensor_type, location, Farm_id) VALUES (1, 'Soil Moisture', 'India', 1), (2, 'Temperature', 'Germany', 2);","SELECT sensor_type FROM IoT_Sensors WHERE location IN ('India', 'Germany');",This query selects the sensor types of IoT sensors located in India and Germany by filtering on the location column with the specified IN clause.
5386,climate change,"Climate change data on climate mitigation, climate adaptation, climate finance, and climate communication.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average climate finance provided to countries in Latin America and the Caribbean for climate adaptation projects in 2021?,"CREATE TABLE climate_finance (country VARCHAR(50), year INT, sector VARCHAR(50), adaptation BOOLEAN, amount FLOAT); INSERT INTO climate_finance (country, year, sector, adaptation, amount) VALUES ('Brazil', 2021, 'Adaptation', true, 5000000), ('Colombia', 2021, 'Adaptation', true, 4000000), ('Peru', 2021, 'Adaptation', true, 3000000), ('Argentina', 2021, 'Adaptation', true, 6000000), ('Mexico', 2021, 'Adaptation', true, 7000000);","SELECT AVG(amount) FROM climate_finance WHERE country IN ('Brazil', 'Colombia', 'Peru', 'Argentina', 'Mexico') AND year = 2021 AND adaptation = true;","This query calculates the average climate finance provided to countries in Latin America and the Caribbean for climate adaptation projects in 2021 by averaging the 'amount' column where the country is in the provided list, the year is 2021, and the adaptation is true."
5387,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which aquaculture farms are located in 'Canada'?,"CREATE TABLE Aquaculture_farms (id INT, name TEXT, country TEXT); INSERT INTO Aquaculture_farms (id, name, country) VALUES (1, 'Farm A', 'Denmark'), (2, 'Farm B', 'Canada'), (3, 'Farm C', 'Japan');",SELECT name FROM Aquaculture_farms WHERE country = 'Canada';,"We retrieve the names of all aquaculture farms located in Canada from the Aquaculture_farms table, by filtering on the country column."
5388,human resources,"Employee demographics, talent acquisition data, diversity and inclusion metrics, and training program statistics.",basic SQL,basic SQL with a simple select statement,data definition,"creating, altering, or dropping tables and other database objects",Create a table named 'training_programs',"CREATE TABLE training_programs (id INT PRIMARY KEY, program_name VARCHAR(50), start_date DATE, end_date DATE, department VARCHAR(50), trainer VARCHAR(50));","CREATE TABLE training_programs (id INT PRIMARY KEY, program_name VARCHAR(50), start_date DATE, end_date DATE, department VARCHAR(50), trainer VARCHAR(50));","1. This statement creates a new table called 'training_programs' with an integer primary key 'id'. 2. The table also includes five columns for 'program_name', 'start_date', 'end_date', 'department', and 'trainer' of types VARCHAR(50) and DATE."
5389,telecommunications,"Mobile and broadband subscriber data, network infrastructure investments, customer usage patterns, and regulatory compliance information.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List the top 3 countries with the highest broadband internet download speed.,"CREATE TABLE network_infrastructure (country VARCHAR(20), download_speed FLOAT); INSERT INTO network_infrastructure (country, download_speed) VALUES ('USA', 100), ('Canada', 120), ('Mexico', 80);","SELECT country, download_speed FROM network_infrastructure ORDER BY download_speed DESC LIMIT 3;",Orders the download_speed column in descending order and selects the top 3 countries with the highest download speeds by using the LIMIT clause.
5390,nonprofit,"Nonprofit data on charitable giving trends, social impact assessment, capacity building, and volunteer management.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",List the number of volunteers who registered in Q1 and Q3 of 2023.,"CREATE TABLE volunteer_registration (id INT, name VARCHAR(50), registration_date DATE); INSERT INTO volunteer_registration (id, name, registration_date) VALUES (1, 'Alice', '2023-01-05'); INSERT INTO volunteer_registration (id, name, registration_date) VALUES (2, 'Bob', '2023-02-10');","SELECT EXTRACT(QUARTER FROM registration_date) as quarter, COUNT(DISTINCT name) as volunteers_joined FROM volunteer_registration WHERE registration_date BETWEEN '2023-01-01' AND '2023-06-30' GROUP BY quarter HAVING quarter IN (1, 3);","This SQL query calculates the number of volunteers who registered in Q1 and Q3 of 2023 by extracting the quarter from the registration_date, filtering the date between 2023-01-01 and 2023-06-30, then grouping and counting the distinct number of names by quarter, only for quarters 1 and 3."
5391,media,"Media data on content diversity, media literacy, disinformation detection, and media representation.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","What is the total watch time of videos on the platform in minutes, produced by creators from Southeast Asia?","CREATE TABLE Videos (id INT, title VARCHAR(255), content_creator_name VARCHAR(100), content_creator_region VARCHAR(50), length INT); INSERT INTO Videos (id, title, content_creator_name, content_creator_region, length) VALUES (1, 'Video1', 'Creator1', 'Southeast Asia', 12), (2, 'Video2', 'Creator2', 'Europe', 15), (3, 'Video3', 'Creator3', 'Southeast Asia', 20);",SELECT SUM(length) FROM Videos WHERE content_creator_region = 'Southeast Asia';,The SQL query calculates the total watch time of videos on the platform in minutes produced by creators from Southeast Asia by filtering the 'content_creator_region' column and then summing the 'length' column values that meet the criteria.
5392,government services,"Public service delivery, budget allocation, citizen feedback, and policy impact.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total budget allocated for infrastructure in the year 2020?,"CREATE TABLE Budget (Year INT, Category VARCHAR(255), Amount INT); INSERT INTO Budget (Year, Category, Amount) VALUES (2020, 'Education', 5000000), (2020, 'Infrastructure', 10000000), (2021, 'Education', 6000000), (2021, 'Infrastructure', 12000000);",SELECT SUM(Amount) FROM Budget WHERE Year = 2020 AND Category = 'Infrastructure';,This query calculates the total budget allocated for infrastructure in the year 2020 by summing the Amount column where Year is 2020 and Category is Infrastructure.
